2026-03-22 21:21:07,DOWN,1.50,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR221730-30
2026-03-22 21:23:07,DOWN,1.75,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR221730-30
2026-03-22 21:25:08,DOWN,1.70,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR221730-30
2026-03-22 21:30:10,UP,1.75,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR221730-30
2026-03-22 21:35:12,DOWN,1.50,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR221745-45
2026-03-22 21:37:13,DOWN,1.15,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR221745-45
2026-03-22 21:39:14,UP,1.15,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR221745-45
2026-03-22 21:41:14,UP,1.75,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR221745-45
2026-03-22 21:43:15,UP,1.75,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR221745-45
2026-03-22 21:56:20,DOWN,1.75,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR221800-00
2026-03-22 21:58:21,DOWN,1.75,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR221800-00
2026-03-22 22:02:22,DOWN,1.45,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR221815-15
2026-03-22 22:08:25,UP,1.50,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR221815-15
2026-03-22 22:10:25,UP,1.75,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR221815-15
2026-03-22 22:14:27,UP,1.75,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR221815-15
2026-03-22 22:18:28,UP,1.10,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR221830-30
2026-03-22 22:23:30,UP,1.75,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR221830-30
2026-03-22 22:25:31,UP,1.75,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR221830-30
2026-03-22 22:27:32,UP,1.75,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR221830-30
2026-03-22 22:29:32,UP,1.75,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR221830-30
2026-03-22 22:37:35,DOWN,1.05,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR221845-45
2026-03-22 22:41:37,DOWN,1.60,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR221845-45
2026-03-22 22:43:37,DOWN,1.75,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR221845-45
2026-03-22 22:48:39,UP,1.00,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR221900-00
2026-03-22 22:50:40,UP,1.75,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR221900-00
2026-03-22 22:52:41,UP,1.75,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR221900-00
2026-03-22 22:54:41,UP,1.75,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR221900-00
2026-03-22 22:56:42,UP,1.75,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR221900-00
2026-03-22 22:58:43,UP,1.75,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR221900-00
2026-03-22 23:08:47,DOWN,1.75,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR221915-15
2026-03-22 23:13:49,UP,1.75,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR221915-15
2026-03-22 23:19:51,DOWN,1.70,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR221930-30
2026-03-22 23:21:52,DOWN,1.75,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR221930-30
2026-03-22 23:23:53,DOWN,1.75,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR221930-30
2026-03-22 23:25:53,DOWN,1.75,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR221930-30
2026-03-22 23:27:54,DOWN,1.75,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR221930-30
2026-03-22 23:29:55,DOWN,1.75,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR221930-30
2026-03-22 23:34:56,DOWN,1.30,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR221945-45
2026-03-22 23:37:57,DOWN,1.30,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR221945-45
2026-03-22 23:39:58,DOWN,1.25,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR221945-45
2026-03-22 23:44:00,UP,1.75,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR221945-45
2026-03-22 23:49:02,DOWN,1.15,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR222000-00
2026-03-22 23:51:03,DOWN,1.75,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR222000-00
2026-03-22 23:53:04,DOWN,1.75,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR222000-00
2026-03-22 23:55:04,DOWN,1.75,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR222000-00
2026-03-22 23:57:05,DOWN,1.75,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR222000-00
2026-03-22 23:59:06,DOWN,1.75,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR222000-00
2026-03-23 00:05:08,UP,1.10,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR222015-15
2026-03-23 00:08:09,UP,1.25,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR222015-15
2026-03-23 00:10:10,UP,1.65,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR222015-15
2026-03-23 00:12:11,UP,1.75,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR222015-15
2026-03-23 00:14:11,UP,1.75,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR222015-15
2026-03-23 00:17:12,DOWN,0.80,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR222030-30
2026-03-23 00:19:13,DOWN,1.10,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR222030-30
2026-03-23 00:21:14,DOWN,1.10,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR222030-30
2026-03-23 00:26:16,UP,1.75,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR222030-30
2026-03-23 00:28:16,UP,1.50,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR222030-30
2026-03-23 00:30:17,UP,1.75,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR222030-30
2026-03-23 00:33:18,DOWN,1.45,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR222045-45
2026-03-23 00:35:19,DOWN,1.75,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR222045-45
2026-03-23 00:37:20,DOWN,1.75,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR222045-45
2026-03-23 00:39:20,DOWN,1.75,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR222045-45
2026-03-23 00:41:21,DOWN,1.50,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR222045-45
2026-03-23 00:43:22,DOWN,1.75,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR222045-45
2026-03-23 00:51:25,UP,1.70,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR222100-00
2026-03-23 01:07:31,UP,1.75,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR222115-15
2026-03-23 01:09:32,UP,1.75,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR222115-15
2026-03-23 01:11:33,UP,1.75,DRY_DIRECTIONAL,0.00%,KXBTC15M-26MAR222115-15
